TimeStamp, Source,LogType,Description
05.15 14:48.40, ScriptExecThread(5),Info,Per server script "Frontpage_Extensions_Enabled.script" finished in 609 ms. Request count: 2. Status: 0
05.15 14:48.40, ScriptExecThread(5),Info,Per server script "Hadoop_Cluster_Web_Interface.script" starting
05.15 14:48.40, Crawler,Info,[TCrawler : $0BA902B0] Request done, http://testasp.vulnweb.com/Search.asp?tfSearch=the
05.15 14:48.40, Crawler,Info,[TCrawler : $0BA902B0] Processing file /Search.asp (variation 2)
05.15 14:48.40, Crawler,Info,[TCrawler : $0BA902B0] Request done, http://testasp.vulnweb.com/Login.asp?RetURL=/Search.asp%3F
05.15 14:48.40, Crawler,Info,[TCrawler : $0BA902B0] Processing file /Login.asp (variation 2)
05.15 14:48.40, Reporter,Info,[info] Password type input with auto-complete enabled "/Login.asp (a25ffa8a4f25f13f4dfb124732b7284d)"
05.15 14:48.40, Crawler,Info,[TCrawler : $0BA902B0] Added request for URL http://testasp.vulnweb.com/Login.asp
05.15 14:48.40, ScriptExecThread(9),Info,Per server script "GlassFish_41_Directory_Traversal.script" finished in 593 ms. Request count: 2. Status: 0
05.15 14:48.40, ScriptExecThread(9),Info,Per server script "Heartbleed_Bug.script" starting
05.15 14:48.40, Crawler,Info,[TCrawler : $0BA902B0] Request done, http://testasp.vulnweb.com/Login.asp?RetURL=/Default.asp%3F
05.15 14:48.40, Crawler,Info,[TCrawler : $0BA902B0] Processing file /Login.asp (variation 3)
05.15 14:48.40, Reporter,Info,[info] Password type input with auto-complete enabled "/Login.asp (bc3ec4f94d67299396d2a909b0784ea8)"
05.15 14:48.40, Crawler,Info,[TCrawler : $0BA902B0] Request done, http://testasp.vulnweb.com/Register.asp?RetURL=/Search.asp%3F
05.15 14:48.40, Crawler,Info,[TCrawler : $0BA902B0] Processing file /Register.asp (variation 2)
05.15 14:48.40, Reporter,Info,[info] Password type input with auto-complete enabled "/Register.asp (a25ffa8a4f25f13f4dfb124732b7284d)"
05.15 14:48.40, Crawler,Info,[TCrawler : $0BA902B0] Added request for URL http://testasp.vulnweb.com/Register.asp
05.15 14:48.40, Crawler,Info,[TCrawler : $0BA902B0] Request done, http://testasp.vulnweb.com/Login.asp
05.15 14:48.40, Crawler,Info,[TCrawler : $0BA902B0] Processing file /Login.asp (variation 4)
05.15 14:48.40, Reporter,Info,[info] Password type input with auto-complete enabled "/Login.asp (a7bef223e9ded32e7da856d4f9554ed4)"
05.15 14:48.41, Crawler,Info,[TCrawler : $0BA902B0] Request done, http://testasp.vulnweb.com/Register.asp?RetURL=/Login.asp%3F
05.15 14:48.41, Crawler,Info,[TCrawler : $0BA902B0] Processing file /Register.asp (variation 3)
05.15 14:48.41, Reporter,Info,[info] Password type input with auto-complete enabled "/Register.asp (95923d0f27f1495d22800a13355701b8)"
05.15 14:48.41, Crawler,Info,[TCrawler : $0BA902B0] Added request for URL http://testasp.vulnweb.com/Register.asp
05.15 14:48.41, Crawler,Info,[TCrawler : $0BA902B0] Request done, http://testasp.vulnweb.com/Register.asp
05.15 14:48.41, Crawler,Info,[TCrawler : $0BA902B0] Processing file /Register.asp (variation 4)
05.15 14:48.41, Crawler,Info,[TCrawler : $0BA902B0] Request done, http://testasp.vulnweb.com/Login.asp?RetURL=/Login.asp%3F
05.15 14:48.41, Crawler,Info,[TCrawler : $0BA902B0] Processing file /Login.asp (variation 5)
05.15 14:48.41, Crawler,Info,[TCrawler : $0BA902B0] Request done, http://testasp.vulnweb.com/showthread.asp
05.15 14:48.41, Crawler,Info,[TCrawler : $0BA902B0] Processing file /showthread.asp
05.15 14:48.41, Crawler,Info,[TCrawler : $0BA902B0] Request done, http://testasp.vulnweb.com/showthread.asp?id=0
05.15 14:48.41, Crawler,Info,[TCrawler : $0BA902B0] Processing file /showthread.asp (variation 1)
05.15 14:48.41, Crawler,Info,[TCrawler : $0BA902B0] Added request for URL http://testasp.vulnweb.com/avatars
05.15 14:48.41, Crawler,Info,[TCrawler : $0BA902B0] Request done, http://testasp.vulnweb.com/Register.asp?RetURL=/Default.asp%3F
05.15 14:48.41, Crawler,Info,[TCrawler : $0BA902B0] Processing file /Register.asp (variation 5)
05.15 14:48.41, Crawler,Info,[TCrawler : $0BA902B0] Request done, http://testasp.vulnweb.com/Templates/
05.15 14:48.41, Crawler,Info,[TCrawler : $0BA902B0] Processing file /Templates
05.15 14:48.41, Crawler,Info,[TCrawler : $0BA902B0] Request done, http://testasp.vulnweb.com/Templates/Login.asp
05.15 14:48.41, Crawler,Info,[TCrawler : $0BA902B0] Processing file /Templates/Login.asp
05.15 14:48.41, Crawler,Info,[TCrawler : $0BA902B0] Request done, http://testasp.vulnweb.com/Templates/Login.asp?RetURL=/Templates/MainTemplate.dwt.asp%3F
05.15 14:48.42, Reporter,Info,[info] Broken links "/Templates/Login.asp (4bfe572002c210d5a5c992868b7e8a25)"
05.15 14:48.42, Crawler,Info,[TCrawler : $0BA902B0] Processing file /Templates/Login.asp (variation 1)
05.15 14:48.42, Crawler,Info,[TCrawler : $0BA902B0] Request done, http://testasp.vulnweb.com/Templates/Register.asp
05.15 14:48.42, Crawler,Info,[TCrawler : $0BA902B0] Processing file /Templates/Register.asp
05.15 14:48.42, Crawler,Info,[TCrawler : $0BA902B0] Request done, http://testasp.vulnweb.com/Templates/Register.asp?RetURL=/Templates/MainTemplate.dwt.asp%3F
05.15 14:48.42, Reporter,Info,[info] Broken links "/Templates/Register.asp (4bfe572002c210d5a5c992868b7e8a25)"
05.15 14:48.42, Crawler,Info,[TCrawler : $0BA902B0] Processing file /Templates/Register.asp (variation 1)
